DepMap_ID,Match_ID
ACH-001365,NCIH3255_LUNG
ACH-000710,NCIH3255_LUNG
ACH-000297,NCIH3255_LUNG
ACH-000050,NCIH3255_LUNG
ACH-000474,NCIH3255_LUNG
ACH-002169,NCIH3255_LUNG
ACH-002170,NCIH3255_LUNG
ACH-002171,NCIH3255_LUNG
ACH-002172,NCIH3255_LUNG
ACH-002173,NCIH3255_LUNG
ACH-002174,NCIH3255_LUNG
ACH-002175,NCIH3255_LUNG
ACH-002176,NCIH3255_LUNG
ACH-002177,NCIH3255_LUNG
ACH-002286,NCIH3255_LUNG
ACH-002287,NCIH3255_LUNG
ACH-002341,NCIH3255_LUNG
ACH-000400,SKCO1_LARGE_INTESTINE
ACH-000364,U2OS_BONE
ACH-000574,FUOV1_OVARY
ACH-000857,CAL851_BREAST
ACH-000714,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000380,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000658,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
ACH-000866,NCIH1876_LUNG
ACH-000514,NCIH1876_LUNG
ACH-000780,NCIH1876_LUNG
ACH-000980,NCIH1876_LUNG
ACH-000523,NCIH1876_LUNG
ACH-000510,NCIH1876_LUNG
ACH-000921,NCIH1876_LUNG
ACH-000129,NCIH1876_LUNG
ACH-000666,NCIH1876_LUNG
ACH-000845,NCIH1876_LUNG
ACH-000737,NCIH1876_LUNG
ACH-000327,NCIH1876_LUNG
ACH-001591,NCIH1876_LUNG
ACH-000852,NCIH1876_LUNG
ACH-000830,NCIH1876_LUNG
ACH-000589,NCIH1876_LUNG
ACH-000506,NCIH1876_LUNG
ACH-000892,NCIH1876_LUNG
ACH-000869,NCIH1876_LUNG
ACH-000916,NCIH1876_LUNG
ACH-000015,NCIH1876_LUNG
ACH-000179,NCIH1876_LUNG
ACH-000744,NCIH1876_LUNG
ACH-000766,NCIH1876_LUNG
ACH-000035,NCIH1876_LUNG
ACH-000893,NCIH1876_LUNG
ACH-000448,NCIH1876_LUNG
ACH-000021,NCIH1876_LUNG
ACH-000431,NCIH1876_LUNG
ACH-000747,NCIH1876_LUNG
ACH-000675,NCIH1876_LUNG
ACH-000282,NCIH1876_LUNG
ACH-001362,NCIH1876_LUNG
ACH-000379,NCIH1876_LUNG
ACH-000496,NCIH1876_LUNG
ACH-000888,NCIH1876_LUNG
ACH-000033,NCIH1876_LUNG
ACH-000559,NCIH1876_LUNG
ACH-000733,NCIH1876_LUNG
ACH-000894,NCIH1876_LUNG
ACH-001136,NCIH1876_LUNG
ACH-000586,NCIH1876_LUNG
ACH-000434,NCIH1876_LUNG
ACH-000870,NCIH1876_LUNG
ACH-000414,NCIH1876_LUNG
ACH-000752,NCIH1876_LUNG
ACH-000729,NCIH1876_LUNG
ACH-000587,NCIH1876_LUNG
ACH-001137,NCIH1876_LUNG
ACH-000533,NCIH1876_LUNG
ACH-000886,NCIH1876_LUNG
ACH-000781,NCIH1876_LUNG
ACH-000298,NCIH1876_LUNG
ACH-000521,NCIH1876_LUNG
ACH-000153,NCIH1876_LUNG
ACH-000727,NCIH1876_LUNG
ACH-000590,NCIH1876_LUNG
ACH-000010,NCIH1876_LUNG
ACH-000394,NCIH1876_LUNG
ACH-000451,NCIH1876_LUNG
ACH-000841,NCIH1876_LUNG
ACH-000290,NCIH1876_LUNG
ACH-000904,NCIH1876_LUNG
ACH-000639,NCIH1876_LUNG
ACH-000929,NCIH1876_LUNG
ACH-000311,NCIH1876_LUNG
ACH-000785,NCIH1876_LUNG
ACH-001363,NCIH1876_LUNG
ACH-001138,NCIH1876_LUNG
ACH-000481,NCIH1876_LUNG
ACH-000525,NCIH1876_LUNG
ACH-000924,NCIH1876_LUNG
ACH-000399,NCIH1876_LUNG
ACH-000610,NCIH1876_LUNG
ACH-000447,NCIH1876_LUNG
ACH-000367,NCIH1876_LUNG
ACH-000912,NCIH1876_LUNG
ACH-000718,NCIH1876_LUNG
ACH-000900,NCIH1876_LUNG
ACH-000951,NCIH1876_LUNG
ACH-000875,NCIH1876_LUNG
ACH-000121,NCIH1876_LUNG
ACH-000186,NCIH1876_LUNG
ACH-000092,NCIH1876_LUNG
ACH-000648,NCIH1876_LUNG
ACH-000700,NCIH1876_LUNG
ACH-000251,NCIH1876_LUNG
ACH-001075,NCIH1876_LUNG
ACH-000337,NCIH1876_LUNG
ACH-000837,NCIH1876_LUNG
ACH-000109,NCIH1876_LUNG
ACH-001364,NCIH1876_LUNG
ACH-000860,NCIH1876_LUNG
ACH-000638,NCIH1876_LUNG
ACH-000800,NCIH1876_LUNG
ACH-000463,NCIH1876_LUNG
ACH-000360,NCIH1876_LUNG
ACH-000871,NCIH1876_LUNG
ACH-000395,NCIH1876_LUNG
ACH-000343,NCIH1876_LUNG
ACH-000816,NCIH1876_LUNG
ACH-000767,NCIH1876_LUNG
ACH-000628,NCIH1876_LUNG
ACH-001599,NCIH1876_LUNG
ACH-000378,NCIH1876_LUNG
ACH-000945,NCIH1876_LUNG
ACH-000177,NCIH1876_LUNG
ACH-000853,NCIH1876_LUNG
ACH-000089,NCIH1876_LUNG
ACH-000358,NCIH1876_LUNG
ACH-000491,NCIH1876_LUNG
ACH-000775,NCIH1876_LUNG
ACH-000403,NCIH1876_LUNG
ACH-000789,NCIH1876_LUNG
ACH-000355,NCIH1876_LUNG
ACH-001140,NCIH1876_LUNG
ACH-000416,NCIH1876_LUNG
ACH-000292,NCIH1876_LUNG
ACH-001365,NCIH1876_LUNG
ACH-000710,NCIH1876_LUNG
ACH-000297,NCIH1876_LUNG
ACH-000050,NCIH1876_LUNG
ACH-000474,NCIH1876_LUNG
ACH-002169,NCIH1876_LUNG
ACH-002170,NCIH1876_LUNG
ACH-002171,NCIH1876_LUNG
ACH-002172,NCIH1876_LUNG
ACH-002173,NCIH1876_LUNG
ACH-002174,NCIH1876_LUNG
ACH-002175,NCIH1876_LUNG
ACH-002176,NCIH1876_LUNG
ACH-002177,NCIH1876_LUNG
ACH-002286,NCIH1876_LUNG
